Date,Category,Description,Status
2025-12-27,Bug Fix,Sidebar run status updates with V2 statuses,Completed
2025-12-27,Improvement,Unified creator count display with AnimatedCounter,Completed
2025-12-27,Improvement,Filter low-view content and improve real-time UI updates,Completed
2025-12-27,Bug Fix,Improved job completion and intermediate updates flow,Completed
2025-12-26,Bug Fix,Hide 0 views in gallery and table view,Completed
2025-12-26,Bug Fix,Preserve server-provided totalCreators in job processing,Completed
2025-12-26,Feature,React Query for instant loading of completed runs,Completed
2025-12-25,Bug Fix,Resolved React hydration mismatch in QueryProvider,Completed
2025-12-25,Bug Fix,Pagination reset when new creators load,Completed
2025-12-25,Bug Fix,Use actual DB count instead of stale counter for progress,Completed
2025-12-24,Infrastructure,Atomic creator storage with job_creators table,Completed
2025-12-24,Infrastructure,Shared type contract for job statuses,Completed
2025-12-24,Bug Fix,Handle 'partial' status in run sidebar display,Completed
2025-12-24,Infrastructure,Atomic deduplication for V2 workers,Completed
2025-12-23,Infrastructure,Added maxDuration to V2 worker routes for Vercel Pro,Completed
2025-12-23,Feature,Redis caching for completed job results,Completed
2025-12-23,Bug Fix,Timeout and error handling for V2/status API,Completed
2025-12-23,Performance,Increased campaigns API timeout and optimized query,Completed
2025-12-22,Performance,"Removed Sentry, added Vercel region for performance testing",Completed
2025-12-22,Bug Fix,Poll V2 status for keyword runs,Completed
2025-12-22,Bug Fix,Fast return from V2 dispatch,Completed
2025-12-22,Bug Fix,Surface start-search failures with JSON-safe errors,Completed
2025-12-21,Bug Fix,Reduced run spinners + fixed IG/YT bio enrichment,Completed
2025-12-21,Refactor,List detail page extraction (68% code reduction),Completed
2025-12-21,Refactor,Campaign page extraction (74% code reduction),Completed
2025-12-20,Refactor,Similar search extraction + bug fixes,Completed
2025-12-20,Refactor,Keyword search components extraction + pagination UX fix,Completed
2025-12-20,Feature,V2 fan-out worker system with target capping (Major Architecture),Completed
2025-12-20,Documentation,V2 fan-out architecture specification,Completed
2025-12-19,Bug Fix,Auto-redirect to dashboard after modal sign-in/sign-up,Completed
2025-12-19,Bug Fix,Checkout URL scheme + gallery view counts,Completed
2025-12-19,Performance,Lazy loading for images for better scale handling,Completed
2025-12-18,Bug Fix,Hydrate bio data from database on page reload,Completed
2025-12-18,Bug Fix,Prevent bio enrichment re-fetching when bio is empty,Completed
2025-12-18,Refactor,"Tech debt cleanup - fix typos, deprecate unused code",Completed
2025-12-18,Bug Fix,Usage tracking userId mismatch + cleanup legacy code,Completed
2025-12-17,Feature,Consolidated plan enforcement into lib/billing module,Completed
2025-12-17,Refactor,Enhanced billing and onboarding architecture,Completed
2025-12-17,Feature,Rebuilt billing system with unified lib/billing module,Completed
2025-12-17,Bug Fix,Update metadataBase for correct OG image URLs,Completed
2025-12-16,Bug Fix,Bypass Clerk for bots to enable OG previews,Completed
2025-12-16,Bug Fix,Allow social media bots to bypass Clerk for OG preview,Completed
2025-12-15,Feature,Default views > 1000 filter for Instagram keyword search,Completed
2025-12-15,Feature,Updated OG preview image for social sharing,Completed
